Planet Name,Stellar Magnitude,Discovery Date,Planet Type,Discovery Method,Orbital Radius,Eccentricity,Planet Mass (Jupiter),Planet Radius (Jupiter),Distance (light-years),Orbital Period (Years)
K2-268 f,13.848,2019,Neptune-like,Transit,15.25358028598593,0.07689300021083703,0.017621145374449337,0.19910714285714287,1069.08392148,0.07200547570157427
K2-268 e,13.848,2019,Super Earth,Transit,15.25358028598593,0.07689300021083703,0.007331655129011957,0.11875000000000001,1069.08392148,0.016700889801505817
K2-268 d,13.848,2019,Super Earth,Transit,15.25358028598593,0.07689300021083703,0.008904971680302076,0.13303571428571428,1069.08392148,0.012320328542094456
K2-185 c,12.235,2018,Neptune-like,Transit,15.25358028598593,0.07689300021083703,0.019823788546255505,0.213,875.2624569200001,0.14428473648186174
TOI-532 b,14.413,2021,Gas Giant,Transit,0.0296,0.0,0.1935,0.519,440.46389331999995,0.006297056810403832
TOI-431 d,9.12,2021,Neptune-like,Transit,0.098,0.0,0.031151667715544368,0.294,106.22444301600001,0.034223134839151265
TOI-431 c,9.12,2021,Super Earth,Radial Velocity,0.052,0.0,0.008904971680302076,0.13303571428571428,106.22444301600001,0.013141683778234086
TOI-431 b,9.12,2021,Super Earth,Transit,0.0113,0.0,0.009660163624921333,0.1142857142857143,106.22444301600001,0.0013689253935660506
TOI-2406 b,12.60683284365942,2021,Super Earth,Transit,0.02267,0.17,0.049087476400251726,0.25535714285714284,180.75239363999998,0.008487337440109514
KMT-2019-BLG-0371L b,12.60683284365942,2021,Gas Giant,Microlensing,0.79,0.07689300021083703,7.7,1.13,22863.5356,2.3
KIC 8121913 b,12.38,2021,Gas Giant,Orbital Brightness Modulation,15.25358028598593,0.07689300021083703,2.1,1.19,2306.9111726799997,0.009034907597535934
KIC 5479689 b,13.929,2021,Gas Giant,Orbital Brightness Modulation,15.25358028598593,0.07689300021083703,0.5,1.27,1483.8467219999998,0.004654346338124572
KIC 10068024 b,13.144,2021,Gas Giant,Orbital Brightness Modulation,15.25358028598593,0.07689300021083703,2.0,1.19,2351.9272238,0.005749486652977413
AU Microscopii c,8.81,2021,Neptune-like,Transit,0.1101,0.0,0.030207677784770293,0.289,31.709212475999994,0.05174537987679671
TOI-1278 b,13.502,2021,Gas Giant,Transit,0.095,0.01,18.5,1.09,246.495332404,0.03969883641341547
TOI-1062 c,10.249,2021,Neptune-like,Radial Velocity,0.08,0.14,0.030774071743234734,0.276,268.01314834799996,0.02190280629705681
TOI-1062 b,10.249,2021,Super Earth,Transit,0.052,0.18,0.031938325991189426,0.2022321428571429,268.01314834799996,0.011225188227241615
OGLE-2019-BLG-0954L b,12.60683284365942,2021,Gas Giant,Microlensing,2.65,0.07689300021083703,14.2,1.1,11839.4628,4.8
KMT-2018-BLG-1996L b,12.60683284365942,2021,Gas Giant,Microlensing,4.27,0.07689300021083703,1.09,1.23,19275.8196,10.6
KMT-2018-BLG-1976L b,12.60683284365942,2021,Gas Giant,Microlensing,3.54,0.07689300021083703,2.22,1.19,19047.5104,8.3
TOI-1749 d,13.86,2021,Neptune-like,Transit,0.0707,0.062,0.04719949653870358,0.225,324.708193516,0.024640657084188913
TOI-1749 c,13.86,2021,Neptune-like,Transit,0.0443,0.019,0.04405286343612334,0.1892857142857143,324.708193516,0.012320328542094456
TOI-1749 b,13.86,2021,Super Earth,Transit,0.0291,0.14,0.17934,0.12410714285714286,324.708193516,0.006570841889117043
Kepler-1704 b,13.392,2013,Gas Giant,Transit,2.027,0.92,4.16,1.066,2724.8866098,2.7
HD 95544 b,8.39,2021,Gas Giant,Radial Velocity,3.166,0.05,6.021,1.14,286.380949644,5.6
HD 80869 b,8.48,2021,Gas Giant,Radial Velocity,2.905,0.92,5.065,1.15,278.52124235599996,4.8
HD 27969 b,7.66,2021,Gas Giant,Radial Velocity,1.552,0.18,4.8,1.15,221.56690316799998,1.8
HD 211403 b,8.48,2021,Gas Giant,Radial Velocity,0.768,0.08,5.54,1.14,271.009217364,0.6127310061601643
HD 115954 b,8.34,2021,Gas Giant,Radial Velocity,5.0,0.49,8.45,1.12,285.85518617199995,10.1
HD 109286 b,8.78,2021,Gas Giant,Radial Velocity,1.259,0.34,2.99,1.17,180.74130433599998,1.4
HAT-P-64 b,12.855,2021,Gas Giant,Transit,0.05387,0.101,0.58,1.703,2126.20117932,0.010951403148528405
HAT-P-63 b,13.657,2021,Gas Giant,Transit,0.04294,0.069,0.614,1.119,1315.90247448,0.009308692676249144
HAT-P-62 b,12.539,2021,Gas Giant,Transit,0.03772,0.101,0.761,1.073,1137.6810514,0.007118412046543464
HAT-P-61 b,13.096,2021,Gas Giant,Transit,0.0301,0.113,1.057,0.899,1105.1469903999998,0.005201916495550993
HAT-P-60 b,9.727,2021,Gas Giant,Transit,0.06277,0.25,0.574,1.631,760.6610231999999,0.013141683778234086
HAT-P-59 b,11.64,2021,Gas Giant,Transit,0.05064,0.03,1.54,1.123,865.84959476,0.011225188227241615
HAT-P-58 b,12.925,2021,Gas Giant,Transit,0.04994,0.073,0.372,1.332,1681.6277204,0.010951403148528405
TOI-2076 d,9.139,2021,Neptune-like,Transit,0.199,0.0,0.09125235997482693,0.306,136.689044196,0.09609856262833676
TOI-2076 c,9.139,2021,Gas Giant,Transit,0.142,0.0,0.17305,0.33,136.689044196,0.057494866529774126
TOI-2076 b,9.139,2021,Super Earth,Transit,0.088,0.0,0.050660792951541855,0.2474107142857143,136.689044196,0.028473648186173855
TOI-1807 b,10.0,2021,Super Earth,Transit,0.0122,0.0,0.007677784770295783,0.1336607142857143,138.8690709,0.0013689253935660506
TOI-1259 A b,12.079,2021,Gas Giant,Transit,0.0407,0.0,0.441,1.022,385.20980535999996,0.009582477754962354
TOI-674 b,14.203,2021,Neptune-like,Transit,15.25358028598593,0.07689300021083703,0.07426054122089365,0.5114834271703597,150.30931875599998,1.7022587894645302
TOI-1685 b,13.378,2021,Super Earth,Transit,0.01138,0.0,0.009534298300818124,0.1310714285714286,122.68455786799998,0.0019164955509924709
TOI-1634 b,13.217,2021,Super Earth,Transit,0.01545,0.0,0.02382001258653241,0.15830357142857143,115.046962816,0.0027378507871321013
TOI-1260 c,11.922,2021,Super Earth,Transit,0.0657,0.0,0.04153555695405915,0.2464285714285714,240.043314412,0.02053388090349076
TOI-1260 b,11.922,2021,Super Earth,Transit,0.0367,0.0,0.02693517935808685,0.21517857142857144,240.043314412,0.008487337440109514
GJ 720 A b,9.84,2021,Neptune-like,Radial Velocity,0.119,0.12,0.04292007551919446,0.336,50.7417197,0.053388090349075976
GJ 393 b,9.65,2021,Super Earth,Radial Velocity,0.05402,0.07689300021083703,0.005380742605412208,0.10446428571428572,22.933626524399997,0.019164955509924708
G 264-012 c,13.078,2021,Super Earth,Radial Velocity,0.0525,0.07689300021083703,0.011799874134675896,0.15714285714285717,52.21431404,0.022176591375770018
